utc	event	phase	goal	detail
2026-08-02T08:29:21.793Z	end	select	experience-level-gain	
2026-08-02T08:29:36.572Z	start	implement	experience-level-gain	
2026-08-02T09:38:06.379Z	end	implement	experience-level-gain	
2026-08-02T09:53:34.107Z	start	implement	experience-level-gain	
2026-08-02T10:30:04.100Z	end	implement	experience-level-gain	
2026-08-02T10:42:07.073Z	start	implement	experience-level-gain	
2026-08-02T11:25:33.131Z	end	implement	experience-level-gain	
2026-08-02T11:27:32.269Z	start	review	experience-level-gain	
2026-08-02T12:36:22.352Z	end	review	experience-level-gain	
2026-08-02T13:07:04.292Z	start	select		
2026-08-02T13:23:42.539Z	end	select	furniture-square-entry	
2026-08-02T13:23:42.567Z	start	implement	furniture-square-entry	
2026-08-02T14:07:41.358Z	end	implement	furniture-square-entry	
2026-08-02T14:28:34.306Z	start	implement	furniture-square-entry	
2026-08-02T15:03:24.524Z	end	implement	furniture-square-entry	
2026-08-02T15:26:15.544Z	start	review	furniture-square-entry	
2026-08-02T16:20:13.329Z	end	review	furniture-square-entry	
2026-08-02T16:28:04.932Z	start	select		
2026-08-02T16:28:05.081Z	end	select	commands-deferral-sweep	
2026-08-02T16:28:05.114Z	start	implement	commands-deferral-sweep	
2026-08-02T19:00:40.002Z	end	implement	commands-deferral-sweep	
2026-08-02T19:00:40.033Z	start	review	commands-deferral-sweep	
2026-08-02T19:51:27.888Z	end	review	commands-deferral-sweep	
2026-08-02T20:12:19.215Z	start	implement	commands-deferral-sweep	
2026-08-02T21:18:03.769Z	end	implement	commands-deferral-sweep	
2026-08-02T21:19:13.136Z	start	review	commands-deferral-sweep	
2026-08-02T22:08:05.405Z	end	review	commands-deferral-sweep	
2026-08-02T22:48:55.495Z	start	select		
2026-08-02T22:49:34.329Z	end	select	wizard-mode-wish	
2026-08-02T23:02:51.293Z	start	implement	wizard-mode-wish	
2026-08-03T00:22:12.629Z	start	implement	wizard-mode-wish	
2026-08-03T02:13:21.495Z	end	implement	wizard-mode-wish	
2026-08-03T02:35:17.349Z	start	review	wizard-mode-wish	
2026-08-03T04:04:24.212Z	end	review	wizard-mode-wish	
2026-08-03T04:37:12.368Z	start	select	wizard-mode-wish	
2026-08-03T04:52:49.051Z	end	select	wizard-mode-wish	
2026-08-03T04:54:46.021Z	start	implement	wizard-mode-wish	
2026-08-03T05:33:26.977Z	end	implement	wizard-mode-wish	
2026-08-03T05:34:19.653Z	start	select	wizard-mode-wish	
2026-08-03T05:52:23.117Z	end	select	wizard-mode-wish	
2026-08-03T05:52:23.149Z	start	review	wizard-mode-wish	
2026-08-03T06:49:41.533Z	end	review	wizard-mode-wish	
2026-08-03T07:17:55.672Z	start	select		
2026-08-03T07:31:55.496Z	end	select	wizard-level-teleport	
2026-08-03T07:32:02.069Z	start	select	wizard-level-teleport	
2026-08-03T07:46:53.690Z	end	select	wizard-level-teleport	
2026-08-03T07:47:00.403Z	start	implement	wizard-level-teleport	
2026-08-03T08:14:47.520Z	end	implement	wizard-level-teleport	
2026-08-03T08:15:19.061Z	start	select	wizard-level-teleport	
2026-08-03T08:30:41.190Z	end	select	wizard-level-teleport	
2026-08-03T08:31:03.424Z	start	implement	wizard-level-teleport	
2026-08-03T18:34:21.731Z	end	implement	wizard-level-teleport	
2026-08-03T19:26:19.388Z	start	implement	wizard-level-teleport	
2026-08-03T20:18:08.367Z	end	implement	wizard-level-teleport	
2026-08-03T20:27:35.313Z	start	review	wizard-level-teleport	
2026-08-03T21:18:46.956Z	end	review	wizard-level-teleport	
2026-08-03T21:21:53.101Z	start	implement	wizard-level-teleport	
2026-08-04T01:26:27.253Z	end	implement	wizard-level-teleport	
2026-08-04T01:26:27.283Z	start	review	wizard-level-teleport	
2026-08-04T03:34:07.234Z	end	review	wizard-level-teleport	Recorded the full correctness pass through a3e694d; 14 findings applied, one special-room clarification remains deferred, and supplemental source tracing returns the still-queued slice to implementation.
2026-08-04T03:34:07.273Z	start	implement	wizard-level-teleport	Resume the queued arrival slice for pickup merge/prinv atomicity, generated shop-door fail-closed state, and the ordinary-monster reservoir reachable at higher hero level and option state.
2026-08-04T03:47:42.106Z	end	implement	wizard-level-teleport	Fresh slice-worker proved the queued arrival unit spans 240 reachable ordinary reservoir species and restored all draft paths without a commit; pickup and shop subfamilies are independently bounded but monster ownership requires ordered slices.
2026-08-04T03:47:42.136Z	start	select	wizard-level-teleport	Fresh selector re-slices the still-open arrival boundary from the exact source catalog, common behavior first.
2026-08-04T03:53:40.981Z	end	select	wizard-level-teleport	Fresh selector chose ordinary-autopickup-transaction: one source-ordered pickup transaction on the numeric-arrival consumer; development-session ceiling 0, selected by in-goal live reachability and commonness.
2026-08-04T03:53:41.017Z	start	implement	wizard-level-teleport	Fresh slice-worker closes ordinary-autopickup-transaction through projected observation, evolving inventory merge/add/prinv admission, exact rollback, fresh differential, mutation and checkpoint.
2026-08-04T04:56:03.349Z	end	implement	wizard-level-teleport	Closed ordinary-autopickup-transaction at 8830d77: strict 12-segment C/JavaScript matrix matched 64,497 RNG calls and 84 screens/cursors; 33/33 committed mutants killed; development score unchanged.
2026-08-04T04:56:03.380Z	start	select	wizard-level-teleport	Fresh selector chooses the next source-coherent child under the still-open numeric-arrival umbrella, preserving shop and full ordinary-monster obligations.
2026-08-04T05:02:41.739Z	end	select	wizard-level-teleport	Fresh selector chose ordinary-hobbit-initialization: direct already-admitted difficulty-2 numeric-arrival consumer; development ceiling 0 because the current defect is silent.
2026-08-04T05:02:41.771Z	start	implement	wizard-level-teleport	Fresh worker ports PM_HOBBIT m_initweap, generic inventory order, racial armor exception and m_dowear through strict D:5 arrivals.
2026-08-04T05:30:03.067Z	end	implement	wizard-level-teleport	Closed ordinary-hobbit-initialization at a3e463b: strict 16-segment matrix matched 85,050 RNG calls and 108 screens/cursors; 30/30 committed mutants killed; development score unchanged.
2026-08-04T05:30:03.101Z	start	select	wizard-level-teleport	Fresh selector chooses the next child, with generated-shop rollback and remaining admitted low-band monster initializers still open.
2026-08-04T05:43:19.479Z	end	select	wizard-level-teleport	Fresh selector chose ordinary-stalker-initialization: direct already-admitted PM_STALKER state branch; development ceiling 0 because offscreen invisibility is silent.
2026-08-04T05:43:19.519Z	start	implement	wizard-level-teleport	Fresh worker ports PM_STALKER perminvis/minvis at source position and saves a high-level D:5 state-verifying strict arrival case.
2026-08-04T06:01:22.609Z	end	implement	wizard-level-teleport	Closed ordinary-stalker-initialization at aa9a259: strict 17-segment matrix matched 91,009 RNG calls and 159 screens/cursors; 5/5 committed mutants killed; development score unchanged.
2026-08-04T06:01:22.989Z	start	select	wizard-level-teleport	Fresh selector chooses the next child; generated-shop rollback and the remaining ordinary monster reservoir stay open.
